,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
528,John Lasseter,Tom Hanks,John Ratzenberger,Jim Varney,Adventure Animation Comedy Family Fantasy,toy story,Tom Hanks John Ratzenberger Jim Varney John Lasseter Adventure Animation Comedy Family Fantasy
529,Jan de Bont,Keanu Reeves,Alan Ruck,Joe Morton,Action Adventure Crime Thriller,speed,Keanu Reeves Alan Ruck Joe Morton Jan de Bont Action Adventure Crime Thriller
530,John McTiernan,Scott Glenn,Jeffrey Jones,Courtney B. Vance,Action Adventure Thriller,the hunt for red october,Scott Glenn Jeffrey Jones Courtney B. Vance John McTiernan Action Adventure Thriller
531,Steve Oedekerk,Bruce Spence,Bob Gunton,Sophie Okonedo,Adventure Comedy,ace ventura: when nature calls,Bruce Spence Bob Gunton Sophie Okonedo Steve Oedekerk Adventure Comedy
532,Stephen Hillenburg,Scarlett Johansson,Bill Fagerbakke,Rodger Bumpass,Adventure Animation Comedy Family Fantasy,the spongebob squarepants movie,Scarlett Johansson Bill Fagerbakke Rodger Bumpass Stephen Hillenburg Adventure Animation Comedy Family Fantasy
533,Stig Bergqvist,Elizabeth Daily,Casey Kasem,Debbie Reynolds,Adventure Animation Comedy Family Romance,rugrats in paris: the movie,Elizabeth Daily Casey Kasem Debbie Reynolds Stig Bergqvist Adventure Animation Comedy Family Romance
534,Steven Brill,Antony Starr,Scott Adsit,Bonnie Somerville,Adventure Comedy Mystery,without a paddle,Antony Starr Scott Adsit Bonnie Somerville Steven Brill Adventure Comedy Mystery
535,Peter Lepeniotis,Liam Neeson,Brendan Fraser,Sarah Gadon,Adventure Animation Comedy Family,the nut job,Liam Neeson Brendan Fraser Sarah Gadon Peter Lepeniotis Adventure Animation Comedy Family
536,William Shatner,Leonard Nimoy,Nichelle Nichols,Walter Koenig,Action Adventure Sci-Fi Thriller,star trek v: the final frontier,Leonard Nimoy Nichelle Nichols Walter Koenig William Shatner Action Adventure Sci-Fi Thriller
537,John Glen,Patrick Macnee,Alison Doody,Tanya Roberts,Action Adventure Thriller,a view to a kill,Patrick Macnee Alison Doody Tanya Roberts John Glen Action Adventure Thriller
538,Frederik Du Chau,Bruce Greenwood,Frankie Muniz,M. Emmet Walsh,Adventure Comedy Drama Family Sport,racing stripes,Bruce Greenwood Frankie Muniz M. Emmet Walsh Frederik Du Chau Adventure Comedy Drama Family Sport
539,John R. Leonetti,Brian Thompson,Talisa Soto,Robin Shou,Action Adventure Fantasy Sci-Fi Thriller,mortal kombat: annihilation,Brian Thompson Talisa Soto Robin Shou John R. Leonetti Action Adventure Fantasy Sci-Fi Thriller
540,Shane Acker,Martin Landau,Alan Oppenheimer,Tom Kane,Action Adventure Animation Drama Mystery Sci-Fi Thriller,9,Martin Landau Alan Oppenheimer Tom Kane Shane Acker Action Adventure Animation Drama Mystery Sci-Fi Thriller
541,Stephen J. Anderson,Craig Ferguson,Robert Lopez,Huell Howser,Adventure Animation Comedy Family Musical,winnie the pooh,Craig Ferguson Robert Lopez Huell Howser Stephen J. Anderson Adventure Animation Comedy Family Musical
542,Alister Grierson,Ioan Gruffudd,Rhys Wakefield,Richard Roxburgh,Adventure Drama Thriller,sanctum,Ioan Gruffudd Rhys Wakefield Richard Roxburgh Alister Grierson Adventure Drama Thriller
543,Kevin Hooks,Salma Hayek,Stephen Baldwin,Will Patton,Action Adventure Crime Drama Romance,fled,Salma Hayek Stephen Baldwin Will Patton Kevin Hooks Action Adventure Crime Drama Romance
544,Willard Huyck,Lea Thompson,Jeffrey Jones,Jordan Prentice,Action Adventure Comedy Romance Sci-Fi,howard the duck,Lea Thompson Jeffrey Jones Jordan Prentice Willard Huyck Action Adventure Comedy Romance Sci-Fi
545,Bruce Hunt,Eddie Cibrian,Cole Hauser,Marcel Iures,Adventure Horror Thriller,the cave,Eddie Cibrian Cole Hauser Marcel Iures Bruce Hunt Adventure Horror Thriller
546,Chris Roberts,Saffron Burrows,David Suchet,JÃÂ¼rgen Prochnow,Action Adventure Sci-Fi,wing commander,Saffron Burrows David Suchet JÃÂ¼rgen Prochnow Chris Roberts Action Adventure Sci-Fi
547,James Wong,Ian Whyte,Texas Battle,Randall Duk Kim,Action Adventure Fantasy Sci-Fi Thriller,dragonball: evolution,Ian Whyte Texas Battle Randall Duk Kim James Wong Action Adventure Fantasy Sci-Fi Thriller
548,Terry Gilliam,Andrew Garfield,Lily Cole,Verne Troyer,Adventure Fantasy Mystery,the imaginarium of doctor parnassus,Andrew Garfield Lily Cole Verne Troyer Terry Gilliam Adventure Fantasy Mystery
549,Corey Yuen,Steve Howey,Holly Valance,Sarah Carter,Action Adventure,doa: dead or alive,Steve Howey Holly Valance Sarah Carter Corey Yuen Action Adventure
550,Li Zhang,Bingbing Li,Joan Chen,Jaycee Chan,Action Adventure Drama History War,1911,Bingbing Li Joan Chen Jaycee Chan Li Zhang Action Adventure Drama History War
551,Maksim Fadeev,Konstantin Khabenskiy,Fedor Bondarchuk,Sergey Garmash,Adventure Animation Fantasy,a warrior's tail,Konstantin Khabenskiy Fedor Bondarchuk Sergey Garmash Maksim Fadeev Adventure Animation Fantasy
552,Greg Tiernan,James Franco,Salma Hayek,Anders Holm,Adventure Animation Comedy Fantasy,sausage party,James Franco Salma Hayek Anders Holm Greg Tiernan Adventure Animation Comedy Fantasy
553,unknown,Amanda Schull,Kirk Acevedo,Tom Noonan,Adventure Drama Mystery Sci-Fi Thriller,12 monkeysÃÂ            ,Amanda Schull Kirk Acevedo Tom Noonan unknown Adventure Drama Mystery Sci-Fi Thriller
554,Peter Hewitt,Jim Broadbent,Bradley Pierce,Mark Williams,Adventure Comedy Family Fantasy,the borrowers,Jim Broadbent Bradley Pierce Mark Williams Peter Hewitt Adventure Comedy Family Fantasy
555,Ron Clements,Robin Williams,Frank Welker,Scott Weinger,Adventure Animation Comedy Family Fantasy Musical Romance,aladdin,Robin Williams Frank Welker Scott Weinger Ron Clements Adventure Animation Comedy Family Fantasy Musical Romance
556,Steven Spielberg,Harrison Ford,Amrish Puri,Kate Capshaw,Action Adventure,indiana jones and the temple of doom,Harrison Ford Amrish Puri Kate Capshaw Steven Spielberg Action Adventure
557,Igor Kovalyov,Elizabeth Daily,Cree Summer,Christine Cavanaugh,Adventure Animation Comedy Drama Family Musical,the rugrats movie,Elizabeth Daily Cree Summer Christine Cavanaugh Igor Kovalyov Adventure Animation Comedy Drama Family Musical
558,Shinji Aramaki,Shun Oguri,YÃÂ» Aoi,Haruma Miura,Adventure Animation Sci-Fi,harlock: space pirate,Shun Oguri YÃÂ» Aoi Haruma Miura Shinji Aramaki Adventure Animation Sci-Fi
559,John Glen,Julian Glover,Topol,Desmond Llewelyn,Action Adventure Thriller,for your eyes only,Julian Glover Topol Desmond Llewelyn John Glen Action Adventure Thriller
560,Michael Caton-Jones,Liam Neeson,Jason Flemyng,Eric Stoltz,Adventure Biography,rob roy,Liam Neeson Jason Flemyng Eric Stoltz Michael Caton-Jones Adventure Biography
561,AgustÃÂ­n DÃÂ­az Yanes,Viggo Mortensen,Elena Anaya,Eduardo Noriega,Adventure Drama History Romance Thriller War,captain alatriste: the spanish musketeer,Viggo Mortensen Elena Anaya Eduardo Noriega AgustÃÂ­n DÃÂ­az Yanes Adventure Drama History Romance Thriller War
562,John Glen,Louis Jourdan,Kabir Bedi,Steven Berkoff,Action Adventure Thriller,octopussy,Louis Jourdan Kabir Bedi Steven Berkoff John Glen Action Adventure Thriller
563,David Lean,Richard Wilson,Judy Davis,Art Malik,Adventure Drama History,a passage to india,Richard Wilson Judy Davis Art Malik David Lean Adventure Drama History
564,Nicholas Meyer,Leonard Nimoy,Kurtwood Smith,Nichelle Nichols,Action Adventure Sci-Fi Thriller,star trek vi: the undiscovered country,Leonard Nimoy Kurtwood Smith Nichelle Nichols Nicholas Meyer Action Adventure Sci-Fi Thriller
565,Jon Favreau,Scarlett Johansson,Bill Murray,Garry Shandling,Adventure Drama Family Fantasy,the jungle book,Scarlett Johansson Bill Murray Garry Shandling Jon Favreau Adventure Drama Family Fantasy
566,Philip Kaufman,Dennis Quaid,Scott Glenn,Sam Shepard,Adventure Drama History,the right stuff,Dennis Quaid Scott Glenn Sam Shepard Philip Kaufman Adventure Drama History
567,Wolfgang Petersen,Gerald McRaney,Barret Oliver,Alan Oppenheimer,Adventure Drama Family Fantasy,the neverending story,Gerald McRaney Barret Oliver Alan Oppenheimer Wolfgang Petersen Adventure Drama Family Fantasy
568,Walter Murch,Piper Laurie,Jean Marsh,Tim Rose,Adventure Family Fantasy Horror Mystery,return to oz,Piper Laurie Jean Marsh Tim Rose Walter Murch Adventure Family Fantasy Horror Mystery
569,Robert Rodriguez,Alexa PenaVega,Joel McHale,Daryl Sabara,Action Adventure Comedy Family Sci-Fi,spy kids: all the time in the world in 4d,Alexa PenaVega Joel McHale Daryl Sabara Robert Rodriguez Action Adventure Comedy Family Sci-Fi
570,Joel Coen,Holly Hunter,Tim Blake Nelson,Daniel von Bargen,Adventure Comedy Crime Music,"o brother, where art thou?",Holly Hunter Tim Blake Nelson Daniel von Bargen Joel Coen Adventure Comedy Crime Music
571,Jonathan Frakes,Michael Biehn,Paula GarcÃÂ©s,Jason George,Action Adventure Comedy Sci-Fi Thriller,clockstoppers,Michael Biehn Paula GarcÃÂ©s Jason George Jonathan Frakes Action Adventure Comedy Sci-Fi Thriller
572,Kevin Allen,Daniel Roebuck,Frankie Muniz,David Kelly,Action Adventure Comedy Family Romance Sci-Fi,agent cody banks 2: destination london,Daniel Roebuck Frankie Muniz David Kelly Kevin Allen Action Adventure Comedy Family Romance Sci-Fi
573,Alan Shapiro,Paul Hogan,Chelsea Field,Jessica Wesson,Adventure Family,flipper,Paul Hogan Chelsea Field Jessica Wesson Alan Shapiro Adventure Family
574,Raja Gosnell,Sarah Michelle Gellar,Linda Cardellini,Tim Blake Nelson,Adventure Comedy Family Fantasy Horror Mystery,scooby-doo 2: monsters unleashed,Sarah Michelle Gellar Linda Cardellini Tim Blake Nelson Raja Gosnell Adventure Comedy Family Fantasy Horror Mystery
575,Oleg Stepchenko,Jason Flemyng,Igor Jijikine,Agnia Ditkovskite,Adventure Fantasy Mystery Thriller,viy,Jason Flemyng Igor Jijikine Agnia Ditkovskite Oleg Stepchenko Adventure Fantasy Mystery Thriller
576,John A. Davis,Martin Short,Rob Paulsen,Andrea Martin,Action Adventure Animation Comedy Family Sci-Fi,jimmy neutron: boy genius,Martin Short Rob Paulsen Andrea Martin John A. Davis Action Adventure Animation Comedy Family Sci-Fi
577,Matt Reeves,Mike Vogel,Ben Feldman,Liza Lapira,Action Adventure Horror Sci-Fi,cloverfield,Mike Vogel Ben Feldman Liza Lapira Matt Reeves Action Adventure Horror Sci-Fi
578,Michael Pressman,Kevin Nash,Paige Turco,Ernie Reyes Jr.,Action Adventure Comedy Family Sci-Fi,teenage mutant ninja turtles ii: the secret of the ooze,Kevin Nash Paige Turco Ernie Reyes Jr. Michael Pressman Action Adventure Comedy Family Sci-Fi
579,Gabor Csupo,Josh Hutcherson,Zooey Deschanel,Bailee Madison,Adventure Drama Family Fantasy,bridge to terabithia,Josh Hutcherson Zooey Deschanel Bailee Madison Gabor Csupo Adventure Drama Family Fantasy
580,Joe Carnahan,Liam Neeson,Frank Grillo,James Badge Dale,Action Adventure Drama Thriller,the grey,Liam Neeson Frank Grillo James Badge Dale Joe Carnahan Action Adventure Drama Thriller
581,Harald Zwart,Daniel Roebuck,Frankie Muniz,Chris Gauthier,Action Adventure Comedy Crime Family Romance Thriller,agent cody banks,Daniel Roebuck Frankie Muniz Chris Gauthier Harald Zwart Action Adventure Comedy Crime Family Romance Thriller
582,Steve Oedekerk,Kelly Preston,Michael McKean,Rebecca Gayheart,Action Adventure Comedy Crime,nothing to lose,Kelly Preston Michael McKean Rebecca Gayheart Steve Oedekerk Action Adventure Comedy Crime
583,Cathy Malkasian,Alfre Woodard,Flea,Cree Summer,Adventure Animation Comedy Family Fantasy,the wild thornberrys movie,Alfre Woodard Flea Cree Summer Cathy Malkasian Adventure Animation Comedy Family Fantasy
584,John Eng,Elizabeth Daily,Cree Summer,Nancy Cartwright,Adventure Animation Comedy Family Fantasy Musical,rugrats go wild,Elizabeth Daily Cree Summer Nancy Cartwright John Eng Adventure Animation Comedy Family Fantasy Musical
585,Dwight H. Little,Nicholas Gonzalez,Salli Richardson-Whitfield,Johnny Messner,Action Adventure Horror Thriller,anacondas: the hunt for the blood orchid,Nicholas Gonzalez Salli Richardson-Whitfield Johnny Messner Dwight H. Little Action Adventure Horror Thriller
586,Simon Wincer,Jere Burns,Paul Hogan,Linda Kozlowski,Adventure Comedy Crime,crocodile dundee in los angeles,Jere Burns Paul Hogan Linda Kozlowski Simon Wincer Adventure Comedy Crime
587,Paul Feig,Tyler James Williams,Rob Riggle,B.J. Novak,Adventure Comedy Family Romance,unaccompanied minors,Tyler James Williams Rob Riggle B.J. Novak Paul Feig Adventure Comedy Family Romance
588,Steve Barron,Martin Landau,Udo Kier,Bebe Neuwirth,Adventure Family Fantasy Musical,the adventures of pinocchio,Martin Landau Udo Kier Bebe Neuwirth Steve Barron Adventure Family Fantasy Musical
589,John Carpenter,Victor Wong,Kate Burton,Peter Kwong,Action Adventure Comedy Fantasy,big trouble in little china,Victor Wong Kate Burton Peter Kwong John Carpenter Action Adventure Comedy Fantasy
590,John Hillcoat,Viggo Mortensen,Charlize Theron,Robert Duvall,Adventure Drama,the road,Viggo Mortensen Charlize Theron Robert Duvall John Hillcoat Adventure Drama
591,John Guillermin,Tanya Roberts,Donovan Scott,Ted Wass,Adventure Fantasy,sheena,Tanya Roberts Donovan Scott Ted Wass John Guillermin Adventure Fantasy
592,David R. Ellis,Lin Shaye,Kenan Thompson,Rachel Blanchard,Action Adventure Crime Drama Thriller,snakes on a plane,Lin Shaye Kenan Thompson Rachel Blanchard David R. Ellis Action Adventure Crime Drama Thriller
593,Uwe Boll,Meat Loaf,Udo Kier,Michael ParÃÂ©,Action Adventure Fantasy Horror,bloodrayne,Meat Loaf Udo Kier Michael ParÃÂ© Uwe Boll Action Adventure Fantasy Horror
594,Ben Stassen,Ed Begley Jr.,Jenny McCarthy,Stacy Keach,Adventure Animation Family,a turtle's tale: sammy's adventures,Ed Begley Jr. Jenny McCarthy Stacy Keach Ben Stassen Adventure Animation Family
595,JÃÂ©rÃÂ´me Deschamps,Yolande Moreau,AndrÃÂ© Wilms,JÃÂ©rÃÂ´me Deschamps,Adventure Animation Comedy,the true story of puss'n boots,Yolande Moreau AndrÃÂ© Wilms JÃÂ©rÃÂ´me Deschamps JÃÂ©rÃÂ´me Deschamps Adventure Animation Comedy
596,Inna Evlannikova,Sergey Garmash,Evgeniy Mironov,Aleksandr Bashirov,Adventure Animation Comedy Family,space dogs,Sergey Garmash Evgeniy Mironov Aleksandr Bashirov Inna Evlannikova Adventure Animation Comedy Family
597,Jonathan English,Jason Flemyng,Mackenzie Crook,Derek Jacobi,Action Adventure History Romance,ironclad,Jason Flemyng Mackenzie Crook Derek Jacobi Jonathan English Action Adventure History Romance
598,Walter Salles,Kristen Stewart,Viggo Mortensen,Kirsten Dunst,Adventure Drama,on the road,Kristen Stewart Viggo Mortensen Kirsten Dunst Walter Salles Adventure Drama
599,Leonard Nimoy,Leonard Nimoy,Nichelle Nichols,Walter Koenig,Adventure Comedy Sci-Fi,star trek iv: the voyage home,Leonard Nimoy Nichelle Nichols Walter Koenig Leonard Nimoy Adventure Comedy Sci-Fi
600,Tim Hill,Josh Charles,F. Murray Abraham,David Arquette,Adventure Comedy Family Fantasy Music Sci-Fi,muppets from space,Josh Charles F. Murray Abraham David Arquette Tim Hill Adventure Comedy Family Fantasy Music Sci-Fi
601,Sidney Lumet,Lena Horne,Diana Ross,Theresa Merritt,Adventure Family Fantasy Music Musical,the wiz,Lena Horne Diana Ross Theresa Merritt Sidney Lumet Adventure Family Fantasy Music Musical
602,Richard Williams,Donald Pleasence,Kenneth Williams,Clive Revill,Action Adventure Animation Comedy Fantasy,the princess and the cobbler,Donald Pleasence Kenneth Williams Clive Revill Richard Williams Action Adventure Animation Comedy Fantasy
603,Hayao Miyazaki,Christian Bale,Blythe Danner,Jean Simmons,Adventure Animation Family Fantasy,howl's moving castle,Christian Bale Blythe Danner Jean Simmons Hayao Miyazaki Adventure Animation Family Fantasy
604,Ruben Fleischer,Emma Stone,Bill Murray,Derek Graf,Adventure Comedy Horror Sci-Fi,zombieland,Emma Stone Bill Murray Derek Graf Ruben Fleischer Adventure Comedy Horror Sci-Fi
605,Irvin Kershner,Harrison Ford,Kenny Baker,Anthony Daniels,Action Adventure Fantasy Sci-Fi,star wars: episode v - the empire strikes back,Harrison Ford Kenny Baker Anthony Daniels Irvin Kershner Action Adventure Fantasy Sci-Fi
606,Jonathan Newman,Ioan Gruffudd,Keeley Hawes,Oliver Stark,Adventure Family Fantasy,the adventurer: the curse of the midas box,Ioan Gruffudd Keeley Hawes Oliver Stark Jonathan Newman Adventure Family Fantasy
607,Joseph Sargent,Judith Barsi,Mario Van Peebles,Lynn Whitfield,Adventure Horror Thriller,jaws: the revenge,Judith Barsi Mario Van Peebles Lynn Whitfield Joseph Sargent Adventure Horror Thriller
608,Mel Brooks,Joan Rivers,Dick Van Patten,Michael Winslow,Adventure Comedy Sci-Fi,spaceballs,Joan Rivers Dick Van Patten Michael Winslow Mel Brooks Adventure Comedy Sci-Fi
609,Michael Bay,Scarlett Johansson,Steve Buscemi,Djimon Hounsou,Action Adventure Romance Sci-Fi Thriller,the island,Scarlett Johansson Steve Buscemi Djimon Hounsou Michael Bay Action Adventure Romance Sci-Fi Thriller
610,Uli Edel,Richard E. Grant,Jim Carter,Alice Krige,Adventure Comedy Family Fantasy,the little vampire,Richard E. Grant Jim Carter Alice Krige Uli Edel Adventure Comedy Family Fantasy
611,Brian Trenchard-Smith,Michael Biehn,Udo Kier,Franco Nero,Action Adventure Fantasy Sci-Fi Thriller,megiddo: the omega code 2,Michael Biehn Udo Kier Franco Nero Brian Trenchard-Smith Action Adventure Fantasy Sci-Fi Thriller
612,William Friedkin,Roy Scheider,Joe Spinell,Amidou,Adventure Drama Thriller,sorcerer,Roy Scheider Joe Spinell Amidou William Friedkin Adventure Drama Thriller
613,Peter Segal,Wilford Brimley,Bradley Whitford,Sela Ward,Adventure Comedy,my fellow americans,Wilford Brimley Bradley Whitford Sela Ward Peter Segal Adventure Comedy
614,Juan JosÃÂ© Campanella,Pablo Rago,Diego Ramos,Gabriel AlmirÃÂ³n,Adventure Animation Family Sport,underdogs,Pablo Rago Diego Ramos Gabriel AlmirÃÂ³n Juan JosÃÂ© Campanella Adventure Animation Family Sport
615,Clint Eastwood,Clint Eastwood,Warren Clarke,Kenneth Colley,Action Adventure Thriller,firefox,Clint Eastwood Warren Clarke Kenneth Colley Clint Eastwood Action Adventure Thriller
616,Stuart Gillard,Paige Turco,John Aylward,Matt Hill,Action Adventure Comedy Family Fantasy Sci-Fi,teenage mutant ninja turtles iii,Paige Turco John Aylward Matt Hill Stuart Gillard Action Adventure Comedy Family Fantasy Sci-Fi
617,Steven Spielberg,Harrison Ford,Karen Allen,William Hootkins,Action Adventure,raiders of the lost ark,Harrison Ford Karen Allen William Hootkins Steven Spielberg Action Adventure
618,Chris Columbus,Macaulay Culkin,Kieran Culkin,Devin Ratray,Adventure Comedy Family,home alone 2: lost in new york,Macaulay Culkin Kieran Culkin Devin Ratray Chris Columbus Adventure Comedy Family
619,Jeannot Szwarc,Roy Scheider,Murray Hamilton,Joseph Mascolo,Adventure Horror Thriller,jaws 2,Roy Scheider Murray Hamilton Joseph Mascolo Jeannot Szwarc Adventure Horror Thriller
620,Raja Gosnell,Jamie Lee Curtis,Nick Zano,Ali Hillis,Adventure Comedy Drama Family Romance,beverly hills chihuahua,Jamie Lee Curtis Nick Zano Ali Hillis Raja Gosnell Adventure Comedy Drama Family Romance
621,Brian Levant,Nia Long,Tracy Morgan,Jay Mohr,Adventure Comedy Family Romance,are we there yet?,Nia Long Tracy Morgan Jay Mohr Brian Levant Adventure Comedy Family Romance
622,Paul W.S. Anderson,Christopher Lambert,Cary-Hiroyuki Tagawa,Bridgette Wilson-Sampras,Action Adventure Fantasy Sci-Fi Thriller,mortal kombat,Christopher Lambert Cary-Hiroyuki Tagawa Bridgette Wilson-Sampras Paul W.S. Anderson Action Adventure Fantasy Sci-Fi Thriller
623,Andrew Davis,Tim Blake Nelson,Zane Holtz,Ski Carr,Adventure Comedy Drama Family Mystery,holes,Tim Blake Nelson Zane Holtz Ski Carr Andrew Davis Adventure Comedy Drama Family Mystery
624,Robin Budd,Roger Rees,Rob Paulsen,Spencer Breslin,Adventure Animation Family Fantasy,return to never land,Roger Rees Rob Paulsen Spencer Breslin Robin Budd Adventure Animation Family Fantasy
625,Steve Trenbirth,Haley Joel Osment,Phil Collins,Tony Jay,Adventure Animation Family Musical,the jungle book 2,Haley Joel Osment Phil Collins Tony Jay Steve Trenbirth Adventure Animation Family Musical
626,Boaz Yakin,Jay Hernandez,Joseph Julian Soria,Edgar Arreola,Adventure Family,max,Jay Hernandez Joseph Julian Soria Edgar Arreola Boaz Yakin Adventure Family
627,Jason Friedberg,David Carradine,Carmen Electra,Fred Willard,Adventure Comedy,epic movie,David Carradine Carmen Electra Fred Willard Jason Friedberg Adventure Comedy
628,John Milius,William Smith,Mako,Sandahl Bergman,Adventure Fantasy,conan the barbarian,William Smith Mako Sandahl Bergman John Milius Adventure Fantasy
629,Peter Hewitt,Keanu Reeves,George Carlin,Alex Winter,Adventure Comedy Fantasy Music Sci-Fi,bill & ted's bogus journey,Keanu Reeves George Carlin Alex Winter Peter Hewitt Adventure Comedy Fantasy Music Sci-Fi
630,Kevin Reynolds,Peter Firth,Jan Cornet,MarÃÂ­a Botto,Action Adventure Drama Mystery,risen,Peter Firth Jan Cornet MarÃÂ­a Botto Kevin Reynolds Action Adventure Drama Mystery
631,Todd Strauss-Schulson,Patton Oswalt,Thomas Lennon,Paula GarcÃÂ©s,Adventure Comedy,a very harold & kumar 3d christmas,Patton Oswalt Thomas Lennon Paula GarcÃÂ©s Todd Strauss-Schulson Adventure Comedy
632,Thomas Bezucha,Leighton Meester,Luke Bracey,Brett Cullen,Adventure Comedy Family Romance,monte carlo,Leighton Meester Luke Bracey Brett Cullen Thomas Bezucha Adventure Comedy Family Romance
633,Simon Wincer,Alan Rickman,Tom Selleck,Ben Mendelsohn,Action Adventure Drama Romance Western,quigley down under,Alan Rickman Tom Selleck Ben Mendelsohn Simon Wincer Action Adventure Drama Romance Western
634,Anthony Bell,Kevin Sussman,Larry Miller,Christine Lakin,Adventure Animation Comedy Family Romance,alpha and omega,Kevin Sussman Larry Miller Christine Lakin Anthony Bell Adventure Animation Comedy Family Romance
635,Henry Joost,Samira Wiley,Marc John Jefferies,Emily Meade,Adventure Crime Mystery Sci-Fi Thriller,nerve,Samira Wiley Marc John Jefferies Emily Meade Henry Joost Adventure Crime Mystery Sci-Fi Thriller
636,unknown,Pablo Sevilla,unknown,unknown,Action Adventure Animation Family Fantasy,yu-gi-oh! duel monstersÃÂ            ,Pablo Sevilla unknown unknown unknown Action Adventure Animation Family Fantasy
637,Richard Donner,Matthew Broderick,John Wood,Leo McKern,Adventure Comedy Drama Fantasy,ladyhawke,Matthew Broderick John Wood Leo McKern Richard Donner Adventure Comedy Drama Fantasy
638,Sean Penn,Kristen Stewart,William Hurt,Hal Holbrook,Adventure Biography Drama,into the wild,Kristen Stewart William Hurt Hal Holbrook Sean Penn Adventure Biography Drama
639,Michael J. Bassett,Radha Mitchell,Deborah Kara Unger,Martin Donovan,Adventure Drama Horror Mystery Thriller,silent hill: revelation 3d,Radha Mitchell Deborah Kara Unger Martin Donovan Michael J. Bassett Adventure Drama Horror Mystery Thriller
640,James Mather,Joseph Gilgun,Vincent Regan,Jacky Ido,Action Adventure Sci-Fi Thriller,lockout,Joseph Gilgun Vincent Regan Jacky Ido James Mather Action Adventure Sci-Fi Thriller
641,Kirk Jones,Robert De Niro,James Frain,Brendan Sexton III,Adventure Drama,everybody's fine,Robert De Niro James Frain Brendan Sexton III Kirk Jones Adventure Drama
642,Dave Borthwick,Jimmy Fallon,Kylie Minogue,Jon Stewart,Adventure Animation Comedy Family Fantasy,doogal,Jimmy Fallon Kylie Minogue Jon Stewart Dave Borthwick Adventure Animation Comedy Family Fantasy
643,Fred Wolf,Kevin Alejandro,Ashley Scott,Jeff Garlin,Adventure Comedy,strange wilderness,Kevin Alejandro Ashley Scott Jeff Garlin Fred Wolf Adventure Comedy
644,Rian Johnson,Zachary Gordon,Maximilian Schell,Nora Zehetner,Adventure Comedy Drama Romance,the brothers bloom,Zachary Gordon Maximilian Schell Nora Zehetner Rian Johnson Adventure Comedy Drama Romance
645,Hayao Miyazaki,Minnie Driver,Jada Pinkett Smith,Billy Crudup,Adventure Animation Fantasy,princess mononoke,Minnie Driver Jada Pinkett Smith Billy Crudup Hayao Miyazaki Adventure Animation Fantasy
646,Matthew Diamond,Chazz Palminteri,Garrett Clayton,Toni Braxton,Adventure Family Fantasy Musical,the oogieloves in the big balloon adventure,Chazz Palminteri Garrett Clayton Toni Braxton Matthew Diamond Adventure Family Fantasy Musical
647,Katsuhiro ÃÂtomo,William Hootkins,Robin Atkin Downes,Rosalind Ayres,Action Adventure Animation Family Sci-Fi Thriller,steamboy,William Hootkins Robin Atkin Downes Rosalind Ayres Katsuhiro ÃÂtomo Action Adventure Animation Family Sci-Fi Thriller
648,Kevin Reynolds,Esai Morales,Jason Scott Lee,Sandrine Holt,Action Adventure Drama History Romance,rapa nui,Esai Morales Jason Scott Lee Sandrine Holt Kevin Reynolds Action Adventure Drama History Romance
649,Wayne Thornley,Leonard Nimoy,Phil LaMarr,Noureen DeWulf,Adventure Animation Comedy Family,zambezia,Leonard Nimoy Phil LaMarr Noureen DeWulf Wayne Thornley Adventure Animation Comedy Family
650,Kevin Costner,Mary McDonnell,Michael Spears,Maury Chaykin,Adventure Drama Western,dances with wolves,Mary McDonnell Michael Spears Maury Chaykin Kevin Costner Adventure Drama Western
651,Robert Zemeckis,Lea Thompson,Thomas F. Wilson,J.J. Cohen,Adventure Comedy Sci-Fi,back to the future,Lea Thompson Thomas F. Wilson J.J. Cohen Robert Zemeckis Adventure Comedy Sci-Fi
652,Britt Allcroft,Mara Wilson,Colm Feore,Peter Fonda,Adventure Comedy Drama Family Fantasy,thomas and the magic railroad,Mara Wilson Colm Feore Peter Fonda Britt Allcroft Adventure Comedy Drama Family Fantasy
653,Hayao Miyazaki,Bunta Sugawara,RyÃÂ»nosuke Kamiki,Miyu Irino,Adventure Animation Family Fantasy,spirited away,Bunta Sugawara RyÃÂ»nosuke Kamiki Miyu Irino Hayao Miyazaki Adventure Animation Family Fantasy
654,Roger Donaldson,Liam Neeson,Anthony Hopkins,Laurence Olivier,Action Adventure Drama History Romance,the bounty,Liam Neeson Anthony Hopkins Laurence Olivier Roger Donaldson Action Adventure Drama History Romance
655,Sean Anders,Katrina Bowden,Michael Cudlitz,Alice Greczyn,Adventure Comedy Romance,sex drive,Katrina Bowden Michael Cudlitz Alice Greczyn Sean Anders Adventure Comedy Romance
656,Terry Gilliam,Johnny Depp,Michael Jeter,Ellen Barkin,Adventure Comedy Drama,fear and loathing in las vegas,Johnny Depp Michael Jeter Ellen Barkin Terry Gilliam Adventure Comedy Drama
657,Leonard Nimoy,Leonard Nimoy,Nichelle Nichols,Walter Koenig,Action Adventure Sci-Fi,star trek iii: the search for spock,Leonard Nimoy Nichelle Nichols Walter Koenig Leonard Nimoy Action Adventure Sci-Fi
658,Richard Fleischer,Mako,Olivia d'Abo,Grace Jones,Action Adventure Fantasy,conan the destroyer,Mako Olivia d'Abo Grace Jones Richard Fleischer Action Adventure Fantasy
