director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Gerry Lively,Bruce Payne,Lucy Gaskell,Steven Elder,Action Adventure Fantasy,dungeons & dragons: wrath of the dragon god,Bruce Payne Lucy Gaskell Steven Elder Gerry Lively Action Adventure Fantasy
Tung-Shing Yee,Bingbing Fan,Daniel Wu,Yasuaki Kurata,Action Crime Drama Thriller,shinjuku incident,Bingbing Fan Daniel Wu Yasuaki Kurata Tung-Shing Yee Action Crime Drama Thriller
John Cornell,Paul Hogan,Linda Kozlowski,John Meillon,Action Adventure Comedy,crocodile dundee ii,Paul Hogan Linda Kozlowski John Meillon John Cornell Action Adventure Comedy
Vidhu Vinod Chopra,MarÃ­a Valverde,Chris Marquette,Chad Bishop,Action Crime Drama Mystery Thriller,broken horses,MarÃ­a Valverde Chris Marquette Chad Bishop Vidhu Vinod Chopra Action Crime Drama Mystery Thriller
Ted Kotcheff,Sylvester Stallone,Brian Dennehy,Chris Mulkey,Action Adventure Drama,first blood,Sylvester Stallone Brian Dennehy Chris Mulkey Ted Kotcheff Action Adventure Drama
Lewis Gilbert,Caroline Munro,Desmond Llewelyn,Barbara Bach,Action Adventure Sci-Fi Thriller,the spy who loved me,Caroline Munro Desmond Llewelyn Barbara Bach Lewis Gilbert Action Adventure Sci-Fi Thriller
Kevin Bray,Mike Epps,Roger Guenveur Smith,Gino Salvano,Action Comedy Crime Thriller,all about the benjamins,Mike Epps Roger Guenveur Smith Gino Salvano Kevin Bray Action Comedy Crime Thriller
James Isaac,Peter Mensah,Kane Hodder,Lexa Doig,Action Horror Sci-Fi Thriller,jason x,Peter Mensah Kane Hodder Lexa Doig James Isaac Action Horror Sci-Fi Thriller
James Fargo,Christopher Lee,Joseph Cotten,Behrouz Vossoughi,Action Adventure History,caravans,Christopher Lee Joseph Cotten Behrouz Vossoughi James Fargo Action Adventure History
Chao-Bin Su,Woo-sung Jung,Shawn Yue,Kelly Lin,Action,reign of assassins,Woo-sung Jung Shawn Yue Kelly Lin Chao-Bin Su Action
Jonathan Liebesman,Noel Fisher,Danny Woodburn,Jeremy Howard,Action Adventure Comedy Sci-Fi,teenage mutant ninja turtles,Noel Fisher Danny Woodburn Jeremy Howard Jonathan Liebesman Action Adventure Comedy Sci-Fi
unknown,Jacek Koman,Marian Dziedziel,Jaroslaw Boberek,Action Crime Drama Thriller,the borderÃÂ            ,Jacek Koman Marian Dziedziel Jaroslaw Boberek unknown Action Crime Drama Thriller
JosÃÂ© Padilha,Gary Oldman,Abbie Cornish,Jennifer Ehle,Action Crime Sci-Fi Thriller,robocop,Gary Oldman Abbie Cornish Jennifer Ehle JosÃÂ© Padilha Action Crime Sci-Fi Thriller
Christopher Cain,Jack Palance,Patrick Wayne,Brian Keith,Action Crime Drama Thriller Western,young guns,Jack Palance Patrick Wayne Brian Keith Christopher Cain Action Crime Drama Thriller Western
Gene Quintano,Jon Lovitz,Lin Shaye,Bill Nunn,Action Comedy Crime,loaded weapon 1,Jon Lovitz Lin Shaye Bill Nunn Gene Quintano Action Comedy Crime
Kirk Wong,Bokeem Woodbine,Elliott Gould,Antonio Sabato Jr.,Action Comedy Crime Thriller,the big hit,Bokeem Woodbine Elliott Gould Antonio Sabato Jr. Kirk Wong Action Comedy Crime Thriller
Niels Arden Oplev,Michael Nyqvist,David Dencik,Lena Endre,Action Crime Mystery Thriller,del 1 - mÃÂ¤n som hatar kvinnorÃÂ            ,Michael Nyqvist David Dencik Lena Endre Niels Arden Oplev Action Crime Mystery Thriller
Jon Hess,Burt Young,Ian Gomez,Thomas Ian Griffith,Action,excessive force,Burt Young Ian Gomez Thomas Ian Griffith Jon Hess Action
Joe Cornish,John Boyega,Luke Treadaway,Jodie Whittaker,Action Comedy Sci-Fi Thriller,attack the block,John Boyega Luke Treadaway Jodie Whittaker Joe Cornish Action Comedy Sci-Fi Thriller
John H. Lee,Liam Neeson,Dean Dawson,Jung-jae Lee,Action Drama History War,operation chromite,Liam Neeson Dean Dawson Jung-jae Lee John H. Lee Action Drama History War
John Stainton,Steve Irwin,Aden Young,Steve Bastoni,Action Adventure Comedy Family,the crocodile hunter: collision course,Steve Irwin Aden Young Steve Bastoni John Stainton Action Adventure Comedy Family
Tony Scott,Brad Pitt,Gary Oldman,Michael Rapaport,Action Crime Drama Romance Thriller,true romance,Brad Pitt Gary Oldman Michael Rapaport Tony Scott Action Crime Drama Romance Thriller
Ethan Maniquis,Robert De Niro,Don Johnson,Cheech Marin,Action Crime Thriller,machete,Robert De Niro Don Johnson Cheech Marin Ethan Maniquis Action Crime Thriller
Je-kyu Kang,Min-sik Choi,Bin Won,Dong-gun Jang,Action Drama War,tae guk gi: the brotherhood of war,Min-sik Choi Bin Won Dong-gun Jang Je-kyu Kang Action Drama War
Michael Ritchie,Victor Wong,Randall 'Tex' Cobb,Charlotte Lewis,Action Adventure Comedy Fantasy Mystery,the golden child,Victor Wong Randall 'Tex' Cobb Charlotte Lewis Michael Ritchie Action Adventure Comedy Fantasy Mystery
Nicholas Meyer,Leonard Nimoy,Kirstie Alley,Nichelle Nichols,Action Adventure Sci-Fi,star trek ii: the wrath of khan,Leonard Nimoy Kirstie Alley Nichelle Nichols Nicholas Meyer Action Adventure Sci-Fi
Mike McCoy,Alex Veadov,Jason Cottle,Rorke Denver,Action Adventure Drama Thriller War,act of valor,Alex Veadov Jason Cottle Rorke Denver Mike McCoy Action Adventure Drama Thriller War
Martin Campbell,Eva Green,Tobias Menzies,Ivana Milicevic,Action Adventure Thriller,casino royale,Eva Green Tobias Menzies Ivana Milicevic Martin Campbell Action Adventure Thriller
unknown,Peter Mensah,Kelvin Taylor,Viva Bianca,Action Adventure Biography Drama History,spartacus: war of the damnedÃÂ            ,Peter Mensah Kelvin Taylor Viva Bianca unknown Action Adventure Biography Drama History
Ernest R. Dickerson,CCH Pounder,Jada Pinkett Smith,Gary Farmer,Action Fantasy Horror Thriller,tales from the crypt: demon knight,CCH Pounder Jada Pinkett Smith Gary Farmer Ernest R. Dickerson Action Fantasy Horror Thriller
Mark Neveldine,Jason Statham,Edi Gathegi,Jose Pablo Cantillo,Action Crime Thriller,crank,Jason Statham Edi Gathegi Jose Pablo Cantillo Mark Neveldine Action Crime Thriller
Yimou Zhang,Takeshi Kaneshiro,Andy Lau,Zhengyong Zhang,Action Adventure Drama Romance,house of flying daggers,Takeshi Kaneshiro Andy Lau Zhengyong Zhang Yimou Zhang Action Adventure Drama Romance
Stuart Gordon,Christopher Lambert,Kurtwood Smith,Clifton Collins Jr.,Action Crime Sci-Fi Thriller,fortress,Christopher Lambert Kurtwood Smith Clifton Collins Jr. Stuart Gordon Action Crime Sci-Fi Thriller
Lijun Sun,Jon Heder,Tom Arnold,Rebecca Black,Action Adventure Animation Comedy Family,legend of kung fu rabbit,Jon Heder Tom Arnold Rebecca Black Lijun Sun Action Adventure Animation Comedy Family
Takashi Yamazaki,Takuya Kimura,Meisa Kuroki,Hiroyuki Ikeuchi,Action Adventure Drama Sci-Fi,space battleship yamato,Takuya Kimura Meisa Kuroki Hiroyuki Ikeuchi Takashi Yamazaki Action Adventure Drama Sci-Fi
Renny Harlin,Richard Coyle,Kenneth Cranham,Ana Imnadze,Action Drama War,5 days of war,Richard Coyle Kenneth Cranham Ana Imnadze Renny Harlin Action Drama War
George Lucas,Harrison Ford,Peter Cushing,Kenny Baker,Action Adventure Fantasy Sci-Fi,star wars: episode iv - a new hope,Harrison Ford Peter Cushing Kenny Baker George Lucas Action Adventure Fantasy Sci-Fi
Jeff Tremaine,Bam Margera,Steve-O,Chris Pontius,Action Comedy Documentary,jackass number two,Bam Margera Steve-O Chris Pontius Jeff Tremaine Action Comedy Documentary
Brian Trenchard-Smith,Zoe Ventoura,Damien Garvey,Christopher Sommers,Action Comedy Crime,drive hard,Zoe Ventoura Damien Garvey Christopher Sommers Brian Trenchard-Smith Action Comedy Crime
Ivan Reitman,Bill Murray,Harold Ramis,Judge Reinhold,Action Comedy War,stripes,Bill Murray Harold Ramis Judge Reinhold Ivan Reitman Action Comedy War
James DeMonaco,Frank Grillo,Joseph Julian Soria,Mykelti Williamson,Action Horror Sci-Fi Thriller,the purge: election year,Frank Grillo Joseph Julian Soria Mykelti Williamson James DeMonaco Action Horror Sci-Fi Thriller
Ken Annakin,Richard Burton,Richard Beymer,Eddie Albert,Action Drama History War,the longest day,Richard Burton Richard Beymer Eddie Albert Ken Annakin Action Drama History War
George Miller,Tina Turner,Bruce Spence,Angelo Rossitto,Action Adventure Sci-Fi Thriller,mad max beyond thunderdome,Tina Turner Bruce Spence Angelo Rossitto George Miller Action Adventure Sci-Fi Thriller
Mark L. Lester,Bill Duke,Vernon Wells,Rae Dawn Chong,Action Adventure Thriller,commando,Bill Duke Vernon Wells Rae Dawn Chong Mark L. Lester Action Adventure Thriller
Michael Schultz,Mike Starr,Vanity,Keshia Knight Pulliam,Action Comedy Drama Music,the last dragon,Mike Starr Vanity Keshia Knight Pulliam Michael Schultz Action Comedy Drama Music
Rowdy Herrington,Ben Gazzara,Kevin Tighe,Kelly Lynch,Action Thriller,road house,Ben Gazzara Kevin Tighe Kelly Lynch Rowdy Herrington Action Thriller
Keenen Ivory Wayans,Jada Pinkett Smith,Salli Richardson-Whitfield,Charles S. Dutton,Action Comedy Crime,a low down dirty shame,Jada Pinkett Smith Salli Richardson-Whitfield Charles S. Dutton Keenen Ivory Wayans Action Comedy Crime
Joseph Zito,Billy Drago,Richard Lynch,Eddie Jones,Action Thriller,invasion u.s.a.,Billy Drago Richard Lynch Eddie Jones Joseph Zito Action Thriller
Colin Strause,David Zayas,Donald Faison,Brittany Daniel,Action Sci-Fi Thriller,skyline,David Zayas Donald Faison Brittany Daniel Colin Strause Action Sci-Fi Thriller
Steve Oedekerk,Steve Oedekerk,Simon Rhee,Jennifer Tung,Action Comedy,kung pow: enter the fist,Steve Oedekerk Simon Rhee Jennifer Tung Steve Oedekerk Action Comedy
James Foley,Byron Mann,Paul Ben-Victor,Kim Chan,Action Crime Drama Mystery Thriller,the corruptor,Byron Mann Paul Ben-Victor Kim Chan James Foley Action Crime Drama Mystery Thriller
Jorma Taccone,Jasper Cole,Will Forte,Powers Boothe,Action Comedy Romance,macgruber,Jasper Cole Will Forte Powers Boothe Jorma Taccone Action Comedy Romance
Florian Henckel von Donnersmarck,Johnny Depp,Angelina Jolie Pitt,Rufus Sewell,Action Romance Thriller,the tourist,Johnny Depp Angelina Jolie Pitt Rufus Sewell Florian Henckel von Donnersmarck Action Romance Thriller
Marcus Dunstan,Daniel Sharman,Johanna Braddy,Lee Tergesen,Action Horror Thriller,the collection,Daniel Sharman Johanna Braddy Lee Tergesen Marcus Dunstan Action Horror Thriller
Scott Kalvert,Norman Reedus,James Franco,Frankie Muniz,Action Crime Drama,deuces wild,Norman Reedus James Franco Frankie Muniz Scott Kalvert Action Crime Drama
Peter Medak,Gary Oldman,Michael Wincott,Lena Olin,Action Crime Drama Thriller,romeo is bleeding,Gary Oldman Michael Wincott Lena Olin Peter Medak Action Crime Drama Thriller
Harley Cokeliss,Cliff Robertson,Tracey Walter,Dennis Burkley,Action Drama Thriller,malone,Cliff Robertson Tracey Walter Dennis Burkley Harley Cokeliss Action Drama Thriller
Rakesh Roshan,Naseeruddin Shah,Rekha,Sharat Saxena,Action Adventure Romance Sci-Fi,krrish,Naseeruddin Shah Rekha Sharat Saxena Rakesh Roshan Action Adventure Romance Sci-Fi
Joshua Seftel,Bashar Rahal,Sergej Trifunovic,Ned Bellamy,Action Comedy Thriller,"war, inc.",Bashar Rahal Sergej Trifunovic Ned Bellamy Joshua Seftel Action Comedy Thriller
Stephen Chow,Wei Zhao,Karen Mok,Kwok-Kwan Chan,Action Comedy Sport,shaolin soccer,Wei Zhao Karen Mok Kwok-Kwan Chan Stephen Chow Action Comedy Sport
Mel Smith,Minnie Driver,Danny Dyer,Mary McCormack,Action Comedy Drama,high heels and low lifes,Minnie Driver Danny Dyer Mary McCormack Mel Smith Action Comedy Drama
Jason Connery,Ray Winstone,Henry Rollins,Jason London,Action Horror Sci-Fi,the devil's tomb,Ray Winstone Henry Rollins Jason London Jason Connery Action Horror Sci-Fi
Jee-woon Kim,Kang-ho Song,Woo-sung Jung,Dal-su Oh,Action Adventure Comedy Western,"the good, the bad, the weird",Kang-ho Song Woo-sung Jung Dal-su Oh Jee-woon Kim Action Adventure Comedy Western
William Phillips,Tyler Mane,Callum Rennie,Dustin Milligan,Action Comedy Drama Western,gunless,Tyler Mane Callum Rennie Dustin Milligan William Phillips Action Comedy Drama Western
Sarik Andreasyan,Hayden Christensen,Jordana Brewster,Akon,Action Crime Drama Thriller,american heist,Hayden Christensen Jordana Brewster Akon Sarik Andreasyan Action Crime Drama Thriller
Lewis Gilbert,Donald Pleasence,Burt Kwouk,Desmond Llewelyn,Action Adventure Thriller,you only live twice,Donald Pleasence Burt Kwouk Desmond Llewelyn Lewis Gilbert Action Adventure Thriller
Julian Gilbey,Mem Ferda,Alfie Allen,Malese Jow,Action Comedy Crime Drama,plastic,Mem Ferda Alfie Allen Malese Jow Julian Gilbey Action Comedy Crime Drama
Valeri Milev,Daniella Alonso,Roger Cross,Jesse Garcia,Action Horror,re-kill,Daniella Alonso Roger Cross Jesse Garcia Valeri Milev Action Horror
Stanley Kramer,Jonathan Winters,Sid Caesar,Spencer Tracy,Action Adventure Comedy Crime,"it's a mad, mad, mad, mad world",Jonathan Winters Sid Caesar Spencer Tracy Stanley Kramer Action Adventure Comedy Crime
David Hackl,Scott Glenn,Michaela McManus,Luisa D'Oliveira,Action Horror Thriller,into the grizzly maze,Scott Glenn Michaela McManus Luisa D'Oliveira David Hackl Action Horror Thriller
Anurag Basu,BÃÂ¡rbara Mori,Steven Michael Quezada,Kabir Bedi,Action Drama Romance Thriller,kites,BÃÂ¡rbara Mori Steven Michael Quezada Kabir Bedi Anurag Basu Action Drama Romance Thriller
Terence Young,Desmond Llewelyn,Earl Cameron,Lois Maxwell,Action Adventure Thriller,thunderball,Desmond Llewelyn Earl Cameron Lois Maxwell Terence Young Action Adventure Thriller
F. Gary Gray,Vivica A. Fox,Jada Pinkett Smith,Blair Underwood,Action Crime Drama Romance Thriller,set it off,Vivica A. Fox Jada Pinkett Smith Blair Underwood F. Gary Gray Action Crime Drama Romance Thriller
James DeMonaco,Noel Gugliemi,Zach Gilford,Roberta Valderrama,Action Horror Sci-Fi Thriller,the purge: anarchy,Noel Gugliemi Zach Gilford Roberta Valderrama James DeMonaco Action Horror Sci-Fi Thriller
Kenneth Branagh,Brian Blessed,Derek Jacobi,Danny Webb,Action Biography Drama History Romance War,henry v,Brian Blessed Derek Jacobi Danny Webb Kenneth Branagh Action Biography Drama History Romance War
Christopher McQuarrie,Kristin Lehman,Nicky Katt,Dylan Kussman,Action Crime Drama Thriller,the way of the gun,Kristin Lehman Nicky Katt Dylan Kussman Christopher McQuarrie Action Crime Drama Thriller
Stewart Raffill,Anjelica Huston,John Carradine,Robert Urich,Action Adventure Comedy Romance Sci-Fi,the ice pirates,Anjelica Huston John Carradine Robert Urich Stewart Raffill Action Adventure Comedy Romance Sci-Fi
Chatrichalerm Yukol,Sarunyu Wongkrachang,Chatchai Plengpanich,Mai Charoenpura,Action Adventure Drama History War,the legend of suriyothai,Sarunyu Wongkrachang Chatchai Plengpanich Mai Charoenpura Chatrichalerm Yukol Action Adventure Drama History War
Scott Mann,Robert De Niro,Joshua Mikel,D.B. Sweeney,Action Crime Thriller,heist,Robert De Niro Joshua Mikel D.B. Sweeney Scott Mann Action Crime Thriller
Martyn Pick,Sean Pertwee,Steven Waddington,Donald Sumpter,Action Animation Fantasy Horror Mystery Sci-Fi Thriller,"ultramarines: a warhammer 40,000 movie",Sean Pertwee Steven Waddington Donald Sumpter Martyn Pick Action Animation Fantasy Horror Mystery Sci-Fi Thriller
unknown,Dee Bradley Baker,James Arnold Taylor,Tom Kane,Action Adventure Animation Drama Fantasy Sci-Fi,star wars: the clone warsÃÂ            ,Dee Bradley Baker James Arnold Taylor Tom Kane unknown Action Adventure Animation Drama Fantasy Sci-Fi
Ekachai Uekrongtham,Michael Jai White,Mike Dopud,Celina Jade,Action Crime Thriller,skin trade,Michael Jai White Mike Dopud Celina Jade Ekachai Uekrongtham Action Crime Thriller
Woo-Suk Kang,Yu-mi Jeong,Sung-kee Ahn,Kyung-gu Sol,Action Drama,silmido,Yu-mi Jeong Sung-kee Ahn Kyung-gu Sol Woo-Suk Kang Action Drama
J.C. Chandor,Robert Redford,unknown,unknown,Action Adventure Drama,all is lost,Robert Redford unknown unknown J.C. Chandor Action Adventure Drama
John G. Avildsen,Martin Kove,William Zabka,William Bassett,Action Drama Family Sport,the karate kid,Martin Kove William Zabka William Bassett John G. Avildsen Action Drama Family Sport
Serdar Akar,Necati Sasmaz,BergÃÂ¼zar Korel,Ghassan Massoud,Action Adventure,valley of the wolves: iraq,Necati Sasmaz BergÃÂ¼zar Korel Ghassan Massoud Serdar Akar Action Adventure
Peter R. Hunt,Telly Savalas,George Lazenby,Desmond Llewelyn,Action Adventure Thriller,on her majesty's secret service,Telly Savalas George Lazenby Desmond Llewelyn Peter R. Hunt Action Adventure Thriller
unknown,Nick Wechsler,Philip Winchester,Jeff Marlow,Action Crime Drama Thriller,the playerÃÂ            ,Nick Wechsler Philip Winchester Jeff Marlow unknown Action Crime Drama Thriller
Erik Canuel,Colm Feore,Richard Howland,Sarain Boylan,Action Comedy Crime Thriller,bon cop bad cop,Colm Feore Richard Howland Sarain Boylan Erik Canuel Action Comedy Crime Thriller
Troy Duffy,Norman Reedus,Julie Benz,Clifton Collins Jr.,Action Crime Thriller,the boondock saints ii: all saints day,Norman Reedus Julie Benz Clifton Collins Jr. Troy Duffy Action Crime Thriller
Mark L. Lester,Cary-Hiroyuki Tagawa,Tia Carrere,Vernee Watson,Action Comedy Crime Thriller,showdown in little tokyo,Cary-Hiroyuki Tagawa Tia Carrere Vernee Watson Mark L. Lester Action Comedy Crime Thriller
Jonathan Lynn,Rupert Grint,Rupert Everett,Geoff Bell,Action Comedy Crime,wild target,Rupert Grint Rupert Everett Geoff Bell Jonathan Lynn Action Comedy Crime
Katsuhiro ÃÂtomo,Mitsuo Iwata,Takeshi Kusao,TesshÃÂ´ Genda,Action Animation Sci-Fi,akira,Mitsuo Iwata Takeshi Kusao TesshÃÂ´ Genda Katsuhiro ÃÂtomo Action Animation Sci-Fi
John Herzfeld,Paul Walker,Olivia Wilde,Jason Flemyng,Action Crime Thriller,the death and life of bobby z,Paul Walker Olivia Wilde Jason Flemyng John Herzfeld Action Crime Thriller
Keith Parmer,Rachel Ann Mullins,Josh Henderson,Grant Bowler,Action Crime Drama Thriller,swelter,Rachel Ann Mullins Josh Henderson Grant Bowler Keith Parmer Action Crime Drama Thriller
Dennie Gordon,Leehom Wang,Ruby Lin,Jack Kao,Action Adventure Comedy Romance,my lucky star,Leehom Wang Ruby Lin Jack Kao Dennie Gordon Action Adventure Comedy Romance
James Nunn,Spencer Wilding,Mark Wingett,Kacey Clarke,Action Drama,green street 3: never back down,Spencer Wilding Mark Wingett Kacey Clarke James Nunn Action Drama
David Webb Peoples,Delroy Lindo,Joan Chen,Anna Katarina,Action Sci-Fi Sport,the blood of heroes,Delroy Lindo Joan Chen Anna Katarina David Webb Peoples Action Sci-Fi Sport
Michael Winnick,Scott Takeda,Helena Mattsson,Craig Sheffer,Action,code of honor,Scott Takeda Helena Mattsson Craig Sheffer Michael Winnick Action
Stanley Tong,FranÃÂ§oise Yip,Anita Mui,Garvin Cross,Action Comedy,rumble in the bronx,FranÃÂ§oise Yip Anita Mui Garvin Cross Stanley Tong Action Comedy
Jeta Amata,Akon,Nathin Butler,Razaaq Adoti,Action Crime Drama Thriller,black november,Akon Nathin Butler Razaaq Adoti Jeta Amata Action Crime Drama Thriller
Daniel Barber,Joseph Gilgun,Jack O'Connell,Sean Harris,Action Crime Drama Thriller,harry brown,Joseph Gilgun Jack O'Connell Sean Harris Daniel Barber Action Crime Drama Thriller
Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,Action Adventure Romance,spider-man 3,J.K. Simmons James Franco Kirsten Dunst Sam Raimi Action Adventure Romance
Robert Marcarelli,George Coe,William Hootkins,Ayla Kell,Action Adventure Fantasy Sci-Fi Thriller,the omega code,George Coe William Hootkins Ayla Kell Robert Marcarelli Action Adventure Fantasy Sci-Fi Thriller
Ernie Barbarash,Darren Shahlavi,Aki Aleong,Brahim Achabbakhe,Action Thriller,pound of flesh,Darren Shahlavi Aki Aleong Brahim Achabbakhe Ernie Barbarash Action Thriller
Guy Hamilton,Desmond Llewelyn,Lois Maxwell,Jill St. John,Action Adventure Thriller,diamonds are forever,Desmond Llewelyn Lois Maxwell Jill St. John Guy Hamilton Action Adventure Thriller
Guy Hamilton,Yaphet Kotto,Geoffrey Holder,Clifton James,Action Adventure Thriller,live and let die,Yaphet Kotto Geoffrey Holder Clifton James Guy Hamilton Action Adventure Thriller
Robert Rodriguez,Quentin Tarantino,Steve Buscemi,Salma Hayek,Action Crime Thriller,desperado,Quentin Tarantino Steve Buscemi Salma Hayek Robert Rodriguez Action Crime Thriller
Michael Anderson,Farrah Fawcett,Jenny Agutter,Peter Ustinov,Action Adventure Sci-Fi,logan's run,Farrah Fawcett Jenny Agutter Peter Ustinov Michael Anderson Action Adventure Sci-Fi
Guy Hamilton,Christopher Lee,HervÃÂ© Villechaize,Desmond Llewelyn,Action Adventure Thriller,the man with the golden gun,Christopher Lee HervÃÂ© Villechaize Desmond Llewelyn Guy Hamilton Action Adventure Thriller
Craig R. Baxley,Bill Duke,Vanity,Carl Weathers,Action Comedy Crime Thriller,action jackson,Bill Duke Vanity Carl Weathers Craig R. Baxley Action Comedy Crime Thriller
unknown,Sarah Michelle Gellar,Alyson Hannigan,Emma Caulfield,Action Drama Fantasy Romance,buffy the vampire slayerÃÂ            ,Sarah Michelle Gellar Alyson Hannigan Emma Caulfield unknown Action Drama Fantasy Romance
Sam Mendes,Albert Finney,Helen McCrory,Rory Kinnear,Action Adventure Thriller,skyfall,Albert Finney Helen McCrory Rory Kinnear Sam Mendes Action Adventure Thriller
Steve Miner,Julian Sands,Richard E. Grant,Lori Singer,Action Fantasy Horror Thriller,warlock,Julian Sands Richard E. Grant Lori Singer Steve Miner Action Fantasy Horror Thriller
Tony Maylam,Michael J. Pollard,Alun Armstrong,Alastair Duncan,Action Crime Horror Sci-Fi Thriller,split second,Michael J. Pollard Alun Armstrong Alastair Duncan Tony Maylam Action Crime Horror Sci-Fi Thriller
unknown,Melinda Clarke,Xander Berkeley,Aaron Stanford,Action Crime Drama Thriller,nikitaÃÂ            ,Melinda Clarke Xander Berkeley Aaron Stanford unknown Action Crime Drama Thriller
unknown,Jensen Ackles,Ashley Scott,John Savage,Action Drama Mystery Sci-Fi,dark angelÃÂ            ,Jensen Ackles Ashley Scott John Savage unknown Action Drama Mystery Sci-Fi
Troy Duffy,Norman Reedus,David Della Rocco,Bob Marley,Action Crime Thriller,the boondock saints,Norman Reedus David Della Rocco Bob Marley Troy Duffy Action Crime Thriller
David Lam,Michael Wong,Louis Koo,Stephen Au,Action Crime,z storm,Michael Wong Louis Koo Stephen Au David Lam Action Crime
Richard Rich,Debi Derryberry,Kate Higgins,Cindy Robinson,Action Adventure Animation Comedy Drama Family Fantasy Thriller,alpha and omega 4: the legend of the saw toothed cave,Debi Derryberry Kate Higgins Cindy Robinson Richard Rich Action Adventure Animation Comedy Drama Family Fantasy Thriller
Robert C. Cooper,Ben Browder,Christopher Judge,Julian Sands,Action Adventure Drama Fantasy Sci-Fi,stargate: the ark of truth,Ben Browder Christopher Judge Julian Sands Robert C. Cooper Action Adventure Drama Fantasy Sci-Fi
Ian Fitzgibbon,Jim Broadbent,Brendan Coyle,Michael McElhatton,Action Comedy Crime Drama Romance Thriller,perrier's bounty,Jim Broadbent Brendan Coyle Michael McElhatton Ian Fitzgibbon Action Comedy Crime Drama Romance Thriller
JosÃÂ© Padilha,Wagner Moura,Fernanda Machado,AndrÃÂ© Ramiro,Action Crime Drama Thriller,elite squad,Wagner Moura Fernanda Machado AndrÃÂ© Ramiro JosÃÂ© Padilha Action Crime Drama Thriller
Ian Sharp,Ray Winstone,Jed Brophy,Temuera Morrison,Action Adventure Drama Western,tracker,Ray Winstone Jed Brophy Temuera Morrison Ian Sharp Action Adventure Drama Western
James Cameron,Michael Biehn,Brian Thompson,Paul Winfield,Action Sci-Fi,the terminator,Michael Biehn Brian Thompson Paul Winfield James Cameron Action Sci-Fi
Frank Coraci,Jim Broadbent,Steve Coogan,CÃÂ©cile De France,Action Adventure Comedy,around the world in 80 days,Jim Broadbent Steve Coogan CÃÂ©cile De France Frank Coraci Action Adventure Comedy
John Carpenter,Donald Pleasence,Adrienne Barbeau,Tom Atkins,Action Sci-Fi,escape from new york,Donald Pleasence Adrienne Barbeau Tom Atkins John Carpenter Action Sci-Fi
Sammo Kam-Bo Hung,Sammo Kam-Bo Hung,Richard Norton,Rachel Blakely,Action Comedy Crime,mr. nice guy,Sammo Kam-Bo Hung Richard Norton Rachel Blakely Sammo Kam-Bo Hung Action Comedy Crime
Sheldon Lettich,Antoni Corone,Ryan Bollman,Todd Susman,Action Drama,only the strong,Antoni Corone Ryan Bollman Todd Susman Sheldon Lettich Action Drama
Sam Peckinpah,William Holden,Warren Oates,L.Q. Jones,Action Adventure Western,the wild bunch,William Holden Warren Oates L.Q. Jones Sam Peckinpah Action Adventure Western
Sylvio Tabet,Michael Berryman,Kari Wuhrer,Marc Singer,Action Adventure Fantasy Sci-Fi,beastmaster 2: through the portal of time,Michael Berryman Kari Wuhrer Marc Singer Sylvio Tabet Action Adventure Fantasy Sci-Fi
Perry Lang,Catherine Bell,Kevin Tighe,Tim Guinee,Action Drama Thriller,men of war,Catherine Bell Kevin Tighe Tim Guinee Perry Lang Action Drama Thriller
William Kaufman,Drew Waters,Sean Cook,Cole Hauser,Action Thriller,the hit list,Drew Waters Sean Cook Cole Hauser William Kaufman Action Thriller
Prachya Pinkaew,Jon Foo,Nathan Jones,Johnny Nguyen,Action Crime Drama Thriller,the protector,Jon Foo Nathan Jones Johnny Nguyen Prachya Pinkaew Action Crime Drama Thriller
Preston A. Whitmore II,Wesley Jonathan,Wayne Brady,Eva Marcille,Action Sport,crossover,Wesley Jonathan Wayne Brady Eva Marcille Preston A. Whitmore II Action Sport
Ashish R. Mohan,Asin,Mithun Chakraborty,Johnny Lever,Action Comedy,khiladi 786,Asin Mithun Chakraborty Johnny Lever Ashish R. Mohan Action Comedy
George Ratliff,Jim Gaffigan,Cree Kelly,Mike Eshaq,Action Comedy Drama Thriller,salvation boulevard,Jim Gaffigan Cree Kelly Mike Eshaq George Ratliff Action Comedy Drama Thriller
Rohan Sippy,Abhishek Bachchan,Bipasha Basu,Prateik,Action Crime Drama Thriller,dum maaro dum,Abhishek Bachchan Bipasha Basu Prateik Rohan Sippy Action Crime Drama Thriller
Chuck Russell,John Saxon,Heather Langenkamp,Jennifer Rubin,Action Fantasy Horror Thriller,a nightmare on elm street 3: dream warriors,John Saxon Heather Langenkamp Jennifer Rubin Chuck Russell Action Fantasy Horror Thriller
Bruce Malmuth,Sylvester Stallone,Lindsay Wagner,Persis Khambatta,Action Crime Thriller,nighthawks,Sylvester Stallone Lindsay Wagner Persis Khambatta Bruce Malmuth Action Crime Thriller
Steve Carver,David Carradine,William Sanderson,Robert Beltran,Action Crime Drama Thriller Western,lone wolf mcquade,David Carradine William Sanderson Robert Beltran Steve Carver Action Crime Drama Thriller Western
John Erick Dowdle,Sterling Jerins,Claire Geare,Sahajak Boonthanakit,Action Thriller,no escape,Sterling Jerins Claire Geare Sahajak Boonthanakit John Erick Dowdle Action Thriller
